Xã hội,Thế giới,Văn hóa,Kinh tế,Giáo dục,Pháp luật,Thể thao,Giải trí
"('Tai nạn', 297)","('Mỹ', 494)","('Du khách', 100)","('Doanh nghiệp', 397)","('Học sinh', 850)","('Điều tra', 405)","('Malaysia', 900)","('Diễn viên', 250)"
"('Giao thông', 294)","('Tổng thống', 382)","('Văn hóa', 85)","('Đầu tư', 229)","('Giáo viên', 508)","('Hiện trường', 310)","('Tuyển việt nam', 866)","('Hâm mộ', 238)"
"('Hiện trường', 194)","('Trung Quốc', 328)","('Tác phẩm', 77)","('Giao dịch', 219)","('Giáo dục', 443)","('Vụ án', 293)","('Chung kết', 808)","('Khán giả', 187)"
"('Trung ương', 166)","('Canada', 299)","('Du lịch', 71)","('Kinh tế', 218)","('Cô giáo', 417)","('Công an', 250)","('Lượt về', 734)","('Bộ phim', 174)"
"('Công tác', 163)","('Trump', 271)","('Món ăn', 69)","('Thương mại', 209)","('Nhà trường', 356)","('Cảnh sát', 225)","('AFF Cup 2018', 717)","('Ca sĩ', 173)"
"('Bí thư', 150)","('Reuters', 267)","('Giáng sinh', 53)","('Lao động', 200)","('Bộ giáo dục và đào tạo', 308)","('Bị cáo', 219)","('Mỹ đình', 404)","('Người đẹp', 153)"
"('Quảng Ngãi', 145)","('Huawei', 248)","('Ẩm thực', 52)","('Xuất khẩu', 191)","('Phụ huynh', 266)","('Khởi tố', 207)","('Hâm mộ', 391)","('Trang phục', 150)"
"('Đại biểu', 143)","('Quân sự', 244)","('Tham quan', 49)","('Sản xuất', 185)","('Hiệu trưởng', 258)","('Hình sự', 168)","('Park Hang-seo', 343)","('Hoa hậu', 147)"
"('Mô tô', 134)","('Donald Trump', 244)","('Lễ hội', 49)","('Cổ phiếu', 168)","('Đào tạo', 257)","('Xét xử', 162)","('Aff cup', 343)","('Fan', 132)"
"('Nhân dân', 132)","('Liên minh châu âu', 239)","('Nghệ sĩ', 47)","('Tăng trưởng', 168)","('Sinh viên', 233)","('Tử vong', 158)","('Bukit Jalil', 340)","('Thời trang', 128)"
"('Lưu thông', 129)","('Thỏa thuận', 231)","('Trưng bày', 43)","('Ngân hàng', 168)","('Kỳ thi', 225)","('Bị can', 138)","('Huấn luyện viên', 338)","(""H'Hen Niê"", 118)"
"('Tử vong', 126)","('An ninh', 228)","('Triển lãm', 41)","('Thuế', 153)","('Đại học', 217)","('Ô tô', 138)","('Cầu thủ', 337)","('Tuyển việt nam', 116)"
"('Tài xế', 121)","('Máy bay', 220)","('Thưởng thức', 40)","('Sản phẩm', 152)","('Đề thi', 217)","('Phát hiện', 137)","('Cổ động viên', 299)","('Cuộc thi', 106)"
"('Thời tiết', 118)","('Tổng thống Mỹ', 219)","('Gia vị', 31)","('Chứng khoán', 147)","('Đống Đa', 163)","('Phiên tòa', 137)","('Đội tuyển', 285)","('Video', 103)"
"('Bị thương', 117)","('Ngoại giao', 211)","('Video', 31)","('Kinh doanh', 140)","('Tiếng Anh', 148)","('Vi phạm', 133)","('Trận đấu', 276)","('Thí sinh', 102)"
"('Mưa lũ', 117)","('Thương mại', 185)","('Di sản', 30)","('Tiêu dùng', 128)","('Kiến thức', 138)","('Khám nghiệm', 128)","('Park Hang Seo', 229)","('Hoa hậu hoàn vũ', 101)"
"('Phương tiện', 115)","('Quan chức', 185)","('Họa sĩ', 30)","('Phát triển', 116)","('Nhà giáo', 130)","('Ma túy', 128)","('Sân Bukit Jalil', 189)","('Ca khúc', 98)"
"('Mưa lớn', 115)","('Khủng bố', 183)","('Đi bộ', 30)","('Lãi suất', 109)","('Trung học phổ thông', 130)","('Đàn ông', 127)","('Thầy trò', 182)","('Đạo diễn', 97)"
"('Nhiệt độ', 113)","('Cáo buộc', 182)","('Nguyên liệu', 30)","('Lợi nhuận', 105)","('Sở GD', 118)","('Luật sư', 126)","('Sân khách', 178)","('Miss Universe 2018', 94)"
"('Ô tô', 110)","('Biên giới', 172)","('Đảo', 30)","('Sản lượng', 101)","('Thí sinh', 117)","('Khống chế', 124)","('Bán kết', 174)","('Trình diễn', 91)"
